"","año","codigo_ine","ccaa","prov","porcentaje_prp","degurba","ln_densidad","distancia_capital","mayores_65","porcentaje_inmigrantes","abstencion_previa","renta","porcentaje_parados"
"10157","2019","34081","Castilla y León","Palencia",14.5833333333333,"Rural areas",0.618103213580159,32.3,43.3333333333333,0,13.1147540983607,NA,0
"10159","2019","34082","Castilla y León","Palencia",19.1176470588235,"Rural areas",0.906161123595985,37.39,60,0,10.8433734939759,NA,3.2
"10161","2019","34083","Castilla y León","Palencia",13.2895816242822,"Rural areas",2.98784242130612,66.2,27.5178026449644,2.33977619532045,31.1475409836066,11153,11.2
"10163","2019","34084","Castilla y León","Palencia",28,"Rural areas",1.76489636047666,30.59,35.4037267080745,0.62111801242236,21.0144927536232,14575,7.3
"10165","2019","34086","Castilla y León","Palencia",20.4545454545455,"Rural areas",1.26849143234987,14.63,26.6666666666667,0.952380952380952,13.5922330097087,15746,5.5
"10167","2019","34087","Castilla y León","Palencia",6.66666666666667,"Rural areas",1.38328081275984,25.46,34.0425531914894,2.12765957446809,20.1550387596899,12693,1.2
"10169","2019","34088","Castilla y León","Palencia",13.5922330097087,"Rural areas",2.9742106844572,12.3,24.6875,3.125,21.5447154471545,12670,6
"10171","2019","34089","Castilla y León","Palencia",14.2857142857143,"Rural areas",1.98269000960475,41.5,30.921052631579,0.657894736842105,20,12334,4.3
"10173","2019","34091","Castilla y León","Palencia",10.2040816326531,"Rural areas",1.10936669749548,53.94,45.4545454545455,0,23.5772357723577,10179,4.9
"10175","2019","34092","Castilla y León","Palencia",8.7378640776699,"Rural areas",2.28006219735678,44.4,44.1696113074205,0,20.1388888888889,12506,6.5
"10177","2019","34093","Castilla y León","Palencia",18.5714285714286,"Rural areas",1.54362952893897,76.08,35.1063829787234,4.25531914893617,17.6470588235294,NA,7.8
"10179","2019","34094","Castilla y León","Palencia",20.4545454545455,"Rural areas",0.815898846264017,48.57,51.5625,4.6875,29.6875,NA,7.1
